City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,cidreira,-30.1811,-50.2056,17.69,92,37,6.18,BR,1690145823
145,luwuk,-0.9516,122.7875,24.28,89,77,2.31,ID,1690145824
146,dhidhdhoo,6.8833,73.1,28.04,79,100,6.89,MV,1690145473
147,mineral wells,32.8085,-98.1128,39.59,23,0,0.0,US,1690145765
148,usogorsk,63.4106,48.6872,12.23,99,68,2.91,RU,1690145452
149,tunceli,39.1083,39.5471,23.84,53,0,3.42,TR,1690145723
150,vadso,70.0744,29.7487,8.49,93,100,6.69,NO,1690145155
151,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,72,75,6.0,RU,1690145128
152,mount pleasant,32.7941,-79.8626,31.08,82,100,6.69,US,1690145822
153,morondava,-20.2833,44.2833,21.22,76,0,4.38,MG,1690145826
154,podporozh'ye,60.9112,34.1706,12.05,89,75,2.61,RU,1690145827
155,tamanrasset,22.785,5.5228,34.95,12,0,1.03,DZ,1690145827
156,darwin,-12.4611,130.8418,16.99,29,0,7.2,AU,1690145827
157,jamestown,42.097,-79.2353,28.07,60,75,4.63,US,1690145247
158,tanabe,33.7333,135.3667,23.72,88,1,2.59,JP,1690145828
159,tapes,-30.6733,-51.3958,15.39,89,85,4.87,BR,1690145828
160,codrington,-38.2667,141.9667,11.13,84,100,3.08,AU,1690145332
161,longyearbyen,78.2186,15.6401,9.91,71,0,5.66,SJ,1690145292
162,lethem,3.3803,-59.7968,28.87,75,59,2.34,GY,1690145829
163,kiunga,-6.1219,141.2906,21.47,99,100,0.22,PG,1690145811
164,tazovsky,67.4667,78.7,15.79,84,99,3.13,RU,1690145423
165,hadibu,12.65,54.0333,24.77,81,100,9.46,YE,1690145098
166,lihue,21.9789,-159.3672,28.77,74,100,7.2,US,1690145297
167,hilo,19.7297,-155.09,27.19,90,75,2.57,US,1690145772
168,edmundston,47.3737,-68.3251,25.13,60,40,1.54,CA,1690145832
169,noshiro,40.2039,140.0242,23.08,78,100,2.13,JP,1690145832
170,dunedin,-45.8742,170.5036,9.33,97,100,1.34,NZ,1690145692
171,kurumkan,54.3,110.3,16.45,66,14,1.63,RU,1690145464
172,ballina,-28.8667,153.5667,10.43,69,100,6.05,AU,1690145833
173,amga,60.8953,131.9608,18.17,79,93,0.71,RU,1690145833
174,tsiombe,-25.3,45.4833,18.55,84,0,1.93,MG,1690145834
175,west island,-12.1568,96.8225,24.99,83,40,5.14,CC,1690145270
176,malango,-2.9627,119.9001,18.17,98,82,0.68,ID,1690145834
177,divnoye,45.9089,43.3547,24.68,58,63,2.28,RU,1690145835
178,elliot lake,46.3834,-82.6331,24.49,48,71,4.31,CA,1690145308
179,san andres,12.5847,-81.7006,29.01,84,75,5.66,CO,1690145836
180,lebu,-37.6167,-73.65,10.06,80,79,2.7,CL,1690145281
181,margate,51.3813,1.3862,16.61,85,36,3.13,GB,1690145837
182,serdar,38.9764,56.2757,31.87,18,0,4.83,TM,1690145837
183,natal,-5.795,-35.2094,27.12,69,75,6.69,BR,1690145837
184,hawaiian paradise park,19.5933,-154.9731,27.07,88,75,2.57,US,1690145098
185,etaples,50.5219,1.6332,17.31,94,75,2.57,FR,1690145838
186,galesong,-5.3166,119.3661,21.01,76,8,2.57,ID,1690145839
187,kayunga,0.7025,32.8886,20.13,69,77,1.05,UG,1690145839
188,aliaga,15.5167,120.8667,25.72,96,100,1.51,PH,1690145839
189,jalqani,12.4486,34.2186,26.72,64,100,3.79,SD,1690145659
190,la paz,-16.5,-68.15,17.99,15,20,6.17,BO,1690145840
191,male,4.1748,73.5089,28.97,84,20,4.63,MV,1690145840
192,bodaybo,57.8506,114.1933,17.37,78,7,0.8,RU,1690145841
193,carnarvon,-24.8667,113.6333,15.67,33,0,8.86,AU,1690145456
194,badger,64.8,-147.5333,28.62,49,100,1.54,US,1690145338
195,as samawah,31.332,45.2944,37.59,10,16,4.31,IQ,1690145842
196,nizhneangarsk,55.7833,109.55,14.35,59,67,2.14,RU,1690145842
197,cabo san lucas,22.8909,-109.9124,32.61,66,83,3.92,MX,1690145788
198,dingzhou,38.5131,114.9956,23.06,75,0,0.51,CN,1690145843
199,takayama,36.1333,137.25,19.9,96,60,1.06,JP,1690145843
200,calingasta,-31.3308,-69.4078,16.35,31,40,3.2,AR,1690145844
201,la ferte-mace,48.59,-0.358,16.65,97,100,5.63,FR,1690145844
202,bikenibeu village,1.3673,173.1241,29.98,74,40,2.57,KI,1690145845
203,antsohihy,-14.8796,47.9875,19.89,71,0,2.32,MG,1690145845
204,andergrove,-21.0833,149.1833,13.14,92,99,7.15,AU,1690145405
205,posto fiscal rolim de moura,-13.0833,-62.2667,33.41,26,0,1.06,BR,1690145846
206,nelson bay,-32.7167,152.15,12.22,99,96,4.02,AU,1690145846
207,newnham,-41.3833,147.1333,8.51,96,100,2.57,AU,1690145846
208,albertina,-22.2008,-46.6158,19.29,49,42,1.35,BR,1690145847
209,nykvarn,59.8,18.3,17.02,83,23,2.36,SE,1690145847
210,saipan,15.1355,145.701,28.14,100,100,3.58,MP,1690145331
211,immenhausen,51.4276,9.4802,19.43,72,20,4.63,DE,1690145848
212,long xuyen,10.3833,105.4167,22.97,92,99,3.05,VN,1690145849
213,dudinka,69.4058,86.1778,11.46,82,36,3.58,RU,1690145333
214,vilyuysk,63.7553,121.6247,19.45,73,18,2.29,RU,1690145849
215,willard,41.0531,-82.7263,28.18,58,8,4.0,US,1690145850
216,holma,9.9008,13.0567,22.76,85,98,1.06,NG,1690145850
217,punta arenas,-53.15,-70.9167,-0.29,81,7,3.15,CL,1690145562
218,chesma,53.8111,60.6533,16.46,58,97,2.61,RU,1690145851
219,akrehamn,59.2667,5.1833,16.14,82,75,6.17,NO,1690145375
220,battagram,34.6772,73.0233,22.44,83,23,1.56,PK,1690145852
221,salinas,36.6777,-121.6555,29.45,68,0,7.2,US,1690145061
222,ridder,50.355,83.5133,16.13,53,100,1.31,KZ,1690145853
223,ouargla,31.9493,5.325,39.04,8,0,3.09,DZ,1690145853
224,fortaleza,-3.7227,-38.5247,28.07,65,0,4.63,BR,1690145356
225,yaren,-0.5472,166.916,28.5,72,3,2.44,NR,1690145854
226,shimoda,34.6667,138.95,25.61,81,15,0.9,JP,1690145854
227,axim,4.8699,-2.2405,24.93,86,99,2.05,GH,1690145855
228,garoua,9.3,13.4,25.6,76,98,1.3,CM,1690145855
229,chiang klang,19.2938,100.8617,23.44,97,21,0.8,TH,1690145855
230,wailua homesteads,22.0669,-159.378,28.44,85,100,7.2,US,1690145322
231,greenville,35.6127,-77.3663,32.09,55,0,2.24,US,1690145306
232,uturoa,-16.7333,-151.4333,25.63,75,15,5.53,PF,1690145332
233,inarajan village,13.2736,144.7484,28.55,89,100,5.48,GU,1690145857
234,areka,7.0667,37.7,16.17,90,100,0.93,ET,1690145857
235,quesnel,52.9999,-122.5029,20.28,49,20,2.06,CA,1690145857
236,chinde,26.8418,88.0763,19.56,88,100,1.05,NP,1690145858
237,saint-francois,46.4154,3.9054,24.69,57,0,2.06,FR,1690145858
238,saldanha,-33.0117,17.9442,7.03,79,0,4.36,ZA,1690145180
239,igarka,67.4667,86.5833,15.65,90,65,2.39,RU,1690145187
240,lamitan city,6.6608,122.1408,26.22,86,100,2.42,PH,1690145859
241,mont-laurier,46.5501,-75.4993,26.79,35,95,2.01,CA,1690145631
242,flin flon,54.7682,-101.865,22.91,38,40,2.06,CA,1690145860
243,andapa,-14.65,49.65,16.17,92,42,1.35,MG,1690145860
244,st. john's,47.5649,-52.7093,25.66,80,75,5.66,CA,1690145305
245,barra de santo antonio,-9.4047,-35.5072,24.6,81,17,4.7,BR,1690145861
246,kabansk,52.0486,106.6528,13.15,96,100,1.21,RU,1690145861
247,houmt el souk,33.8758,10.8575,32.97,38,0,3.6,TN,1690145861
248,shalqar,47.8333,59.6,26.8,30,0,7.27,KZ,1690145862
249,georgetown,5.4112,100.3354,27.96,95,20,1.03,MY,1690145116
250,nizhnyaya omka,55.4338,74.9426,15.48,93,100,1.33,RU,1690145862
251,kodiak,57.79,-152.4072,13.73,82,0,4.12,US,1690145212
252,mejit,10.2753,170.8646,28.41,80,20,8.2,MH,1690144999
253,praia da vitoria,38.7333,-27.0667,24.31,88,20,4.98,PT,1690145768
254,tazacorte,28.629,-17.9293,23.54,75,0,7.2,ES,1690145394
255,north bend,43.4065,-124.2243,27.36,72,0,6.69,US,1690145414
256,mo i rana,66.3128,14.1428,14.07,91,75,1.03,NO,1690145392
257,vilyuchinsk,52.9306,158.4028,18.15,82,79,5.28,RU,1690145865
258,hasaki,35.7333,140.8333,22.95,82,72,2.23,JP,1690145215
